Nanc	Nbot	T	Ncurr
58713.0414080988	0.187888753844294	0.0191625863938115	31724.8837360743
55424.9544281556	0.56928124678487	0.0461089907694415	32878.6408910383
60289.9578209752	0.189194897627289	0.0477162641878174	34649.8061017104
56571.0801148337	0.295763610586003	0.0330351590198243	34114.4549855959
56834.5649529212	0.104877034835482	0.0473337204408778	33711.1890483421
57533.8584204457	0.130471281032256	0.0225686530846209	33321.9330857178
57647.0695011645	0.129868014013951	0.0203429347384626	33622.1309647752
54553.3455792674	0.298792444770852	0.0189501424304623	34575.7577336929
55343.8044663436	0.543605586731088	0.0402239748449594	31727.8845109443
60632.5932087231	0.104545084201735	0.0254942688558488	30638.169519853
56122.2418532327	0.173410249248526	0.0281701828040741	33621.1281157939
60628.5838278728	0.411320396673815	0.0257340712528712	32280.2483122177
58422.5075679078	0.12757208786284	0.0401975508290463	33628.1359930745
54192.6769842742	0.109476592386991	0.0498585393357383	34057.4165244478
58667.9603790082	0.115123848008555	0.0374318366841985	30408.018823515
54544.3210566815	0.10693349819228	0.0196397192371309	33634.1361260027
61173.5876611489	0.52408335063987	0.0201533566229911	34919.9821199732
53405.2178961241	0.18757576581944	0.0339002908248355	32183.1837846882
58098.9058688801	0.350029399579842	0.0192256337874745	31098.4721687044
54990.1522869594	0.206961547102863	0.0216819508285292	32850.6232450906
56619.1667606374	0.288450740436675	0.0211969512974717	32066.1077609344
57461.7226478306	0.145585181400733	0.0266802576485354	33441.0106157048
58518.675509296	0.371954739917859	0.0214515239690222	32406.3296607447
61044.3530941646	0.219482575534009	0.021164226008559	30879.3274782042
56291.5623244223	0.508266212931657	0.0272080848251919	34522.7231795358
54892.9710416086	0.563503418307465	0.0281503889354119	34480.6942640126
58615.8621042748	0.177811313853634	0.0228689709308404	34913.9802290267
57117.0875282912	0.205230932261934	0.0378515588511432	30506.0821583362
56765.4394873148	0.418055913823421	0.0423473455710361	30640.1711028247
54938.0565497721	0.115757905176996	0.0191210367950949	32796.587935566
56604.1366053679	0.286456139314308	0.0324747320245585	33825.2633539582
59680.8272553547	0.212500165415185	0.0494394479456361	34401.641787033
61301.8318363993	0.196588318534713	0.0374065513550347	32658.4977325634
55879.800543809	0.102000746648022	0.0192501603374226	34438.6679019994
69896.9758614309	1.30290552305907	1.24678955539832	29794.120682643
69896.9724509323	1.59452361594973	0.0153282224369774	10444.2924618748
69896.9776240154	0.0392270336152797	0.0153282236157498	49143.948875678
78527.7080984396	0.136433020844312	0.015328219505386	45273.9781801316
59540.088764343	0.42805122315113	0.0153282261937889	10444.295547366
59540.0907796409	0.136433108342986	0.0801419675062171	33664.0899862517
78527.7040903663	0.914081283273965	0.0153282186334632	49143.9422757874
78527.7116725099	1.69172960404022	0.0801419859814297	14314.2561889848
78527.7018135681	0.136432994999169	0.0801419906056469	2704.35788104066
45189.0204438789	0.10086066328072	0.249292107788924	25067.4945012461
52702.926080827	0.100860689962555	0.0499700440110249	35074.0753079089
